,training_error,testing_error
1,0.302,0.2967032967032967
2,0.302,0.2967032967032967
3,0.296,0.32142857142857145
4,0.24,0.34203296703296704
5,0.166,0.37637362637362637
6,0.102,0.37637362637362637
