,training_error,testing_error
1,0.302,0.2967032967032967
2,0.299,0.3090659340659341
3,0.274,0.31043956043956045
4,0.207,0.3021978021978022
5,0.123,0.2664835164835165
6,0.086,0.2664835164835165
