,training_error,testing_error
1,0.302,0.2967032967032967
2,0.222,0.22252747252747251
3,0.176,0.18406593406593408
4,0.089,0.13736263736263737
5,0.027,0.08379120879120878
6,0.0,0.08379120879120878
