,training_error,testing_error
1,0.302,0.2967032967032967
2,0.222,0.22252747252747251
3,0.181,0.19642857142857142
4,0.082,0.1510989010989011
5,0.027,0.08379120879120878
6,0.0,0.08379120879120878
